event,gender,clas_s,category,sub_category,wind,athlete,year,position,school,series,mark,points,note
1600 Meter Sprint Medley,Girls,Open,Track Event,Relay,,Alphansus Davis High School,25,2,Alphansus Davis High School,,04:09.7,10,
4X400 Meter Relay,Girls,Open,Track Event,Relay,,Alphansus Davis High School,25,6,Alphansus Davis High School,,03:42.6,4,
4X100 Meter Relay,Boys,3,Track Event,Relay,,Calabar High School,25,2,Calabar High School,,42.95,10,
4X400 Meter Relay,Boys,Open,Track Event,Relay,,Calabar High School,25,2,Calabar High School,,03:08.6,10,
4X100 Meter Relay,Boys,1,Track Event,Relay,,Calabar High School,25,,Calabar High School,,,0,DQ
1600 Meter Sprint Medley,Boys,Open,Track Event,Relay,,Calabar High School,25,,Calabar High School,,,0,DQ
4X100 Meter Relay,Boys,2,Track Event,Relay,,Calabar High School,25,2,Calabar High School,,40.9,10,
4X100 Meter Relay,Girls,4,Track Event,Relay,,Convent of Mercy Academy (Alpha),25,2,Convent of Mercy Academy (Alpha),,48.56,10,
4X100 Meter Relay,Girls,3,Track Event,Relay,,Convent of Mercy Academy (Alpha),25,6,Convent of Mercy Academy (Alpha),,47.61,4,
4X400 Meter Relay,Boys,Open,Track Event,Relay,,Cornwall College,25,7,Cornwall College,,03:21.5,3,
4X100 Meter Relay,Girls,1,Track Event,Relay,,Edwin Allen High School,25,2,Edwin Allen High School,,44.62,10,
1600 Meter Sprint Medley,Girls,Open,Track Event,Relay,,Edwin Allen High School,25,1,Edwin Allen High School,,04:04.6,12,
4X400 Meter Relay,Girls,Open,Track Event,Relay,,Edwin Allen High School,25,2,Edwin Allen High School,,03:38.8,10,
4X100 Meter Relay,Girls,4,Track Event,Relay,,Edwin Allen High School,25,1,Edwin Allen High School,,47.83,12,
4X100 Meter Relay,Girls,3,Track Event,Relay,,Edwin Allen High School,25,,Edwin Allen High School,,,0,DNF
4X100 Meter Relay,Boys,3,Track Event,Relay,,Edwin Allen High School,25,6,Edwin Allen High School,,44.92,4,
4X400 Meter Relay,Boys,Open,Track Event,Relay,,Edwin Allen High School,25,,Edwin Allen High School,,,0,DNF
4X100 Meter Relay,Girls,2,Track Event,Relay,,Edwin Allen High School,25,5,Edwin Allen High School,,46.87,5,
4X100 Meter Relay,Boys,1,Track Event,Relay,,Edwin Allen High School,25,4,Edwin Allen High School,,40.1,6,
1600 Meter Sprint Medley,Boys,Open,Track Event,Relay,,Edwin Allen High School,25,5,Edwin Allen High School,,03:34.4,5,
4X100 Meter Relay,Boys,2,Track Event,Relay,,Edwin Allen High School,25,6,Edwin Allen High School,,42.18,4,
4X100 Meter Relay,Girls,1,Track Event,Relay,,Excelsior High School,25,5,Excelsior High School,,46.05,5,
4X400 Meter Relay,Boys,Open,Track Event,Relay,,Excelsior High School,25,6,Excelsior High School,,03:12.4,4,
4X100 Meter Relay,Boys,1,Track Event,Relay,,Excelsior High School,25,2,Excelsior High School,,39.83,10,
4X100 Meter Relay,Girls,3,Track Event,Relay,,Ferncourt High School,25,7,Ferncourt High School,,48.54,3,
4X100 Meter Relay,Girls,1,Track Event,Relay,,Holmwood Technical High School,25,3,Holmwood Technical High School,,44.73,8,
1600 Meter Sprint Medley,Girls,Open,Track Event,Relay,,Holmwood Technical High School,25,,Holmwood Technical High School,,,0,DQ
4X400 Meter Relay,Girls,Open,Track Event,Relay,,Holmwood Technical High School,25,3,Holmwood Technical High School,,03:38.8,8,
4X100 Meter Relay,Girls,3,Track Event,Relay,,Holmwood Technical High School,25,2,Holmwood Technical High School,,46.84,10,
4X400 Meter Relay,Boys,Open,Track Event,Relay,,Holmwood Technical High School,25,4,Holmwood Technical High School,,03:10.8,6,
4X100 Meter Relay,Girls,2,Track Event,Relay,,Holmwood Technical High School,25,4,Holmwood Technical High School,,46.75,6,
1600 Meter Sprint Medley,Boys,Open,Track Event,Relay,,Holmwood Technical High School,25,4,Holmwood Technical High School,,03:33.9,6,
4X100 Meter Relay,Girls,1,Track Event,Relay,,Hydel High School,25,1,Hydel High School,,44.55,12,
1600 Meter Sprint Medley,Girls,Open,Track Event,Relay,,Hydel High School,25,3,Hydel High School,,04:09.8,8,
4X400  Meter Relay,Girls,Open,Track Event,Relay,,Hydel High School,25,1,Hydel High School,,03:33.9,12,
4X100 Meter Relay,Girls,4,Track Event,Relay,,Hydel High School,25,8,Hydel High School,,52.74,2,
4X100 Meter Relay,Girls,3,Track Event,Relay,,Hydel High School,25,3,Hydel High School,,47.02,8,
4X100 Meter Relay,Girls,2,Track Event,Relay,,Hydel High School,25,2,Hydel High School,,45.63,10,
4X400 Meter Relay,Girls,Open,Track Event,Relay,,Immaculate Conception,25,4,Immaculate Conception,,03:41.8,6,
4X100 Meter Relay,Girls,4,Track Event,Relay,,Immaculate Conception,25,7,Immaculate Conception,,48.99,3,
4X100 Meter Relay,Girls,2,Track Event,Relay,,Immaculate Conception,25,6,Immaculate Conception,,47.03,4,
4X100 Meter Relay,Boys,3,Track Event,Relay,,Jamaica College,25,5,Jamaica College,,44.84,5,
4X400 Meter Relay,Boys,Open,Track Event,Relay,,Jamaica College,25,3,Jamaica College,,03:08.6,8,
